latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.086,27.924,316.4,1.8,1.3,2020-06-05,0000,A,93,6.0NRT,289.3,35.1,N
-4.081,27.919,301.7,1.8,1.3,2020-06-05,0000,A,29,6.0NRT,289.2,11,N
-4.093,27.918,305.3,1.8,1.3,2020-06-05,0000,A,64,6.0NRT,288.9,16.5,N
-4.559,27.306,305.7,1.6,1.3,2020-06-05,0000,A,65,6.0NRT,290.4,13.6,N
-4.558,27.301,304.9,1.6,1.3,2020-06-05,0000,A,62,6.0NRT,290.2,13.8,N
-5.462,25.572,306,1.3,1.1,2020-06-05,0000,A,66,6.0NRT,290.9,10.8,N
-5.902,24.09,300.4,1.1,1,2020-06-05,0000,A,27,6.0NRT,286.8,5.3,N
-6.52,25.269,303.2,1.3,1.1,2020-06-05,0000,A,54,6.0NRT,289.5,8.8,N
-5.923,20.9,301.8,1.1,1,2020-06-05,0000,A,44,6.0NRT,288,5.2,N
-6.522,24.843,300.4,1.2,1.1,2020-06-05,0000,A,24,6.0NRT,289.3,5.4,N
-6.53,24.831,308.7,1.2,1.1,2020-06-05,0000,A,75,6.0NRT,289.9,12.1,N
-6.702,25.036,305.3,1.2,1.1,2020-06-05,0000,A,64,6.0NRT,289.1,10.8,N
-7.063,25.286,300.3,1.3,1.1,2020-06-05,0000,A,23,6.0NRT,286.2,8.2,N
-6.445,18.523,303.2,1.4,1.2,2020-06-05,0000,A,54,6.0NRT,286.9,10.8,N
-6.458,18.533,300.1,1.4,1.2,2020-06-05,0000,A,17,6.0NRT,287,7.8,N
-7.205,23.117,302.9,1,1,2020-06-05,0000,A,52,6.0NRT,281.9,7.1,N
-7.214,23.116,311.9,1,1,2020-06-05,0000,A,84,6.0NRT,281.8,13.2,N
-7.692,22.913,301.4,1,1,2020-06-05,0000,A,40,6.0NRT,289.7,5.4,N
-7.745,22.519,301,1,1,2020-06-05,0000,A,37,6.0NRT,289.8,4.9,N
-7.746,22.528,313.3,1,1,2020-06-05,0000,A,87,6.0NRT,290.1,13.1,N
-8.222,22.326,309.6,1,1,2020-06-05,0000,A,78,6.0NRT,288.8,10.7,N
-8.093,20.335,305.3,1.1,1,2020-06-05,0000,A,46,6.0NRT,269.4,9.6,N
-8.094,20.345,322.2,1.1,1,2020-06-05,0000,A,100,6.0NRT,273,24.2,N
-8.404,22.371,308.4,1,1,2020-06-05,0000,A,74,6.0NRT,286.7,10,N
-8.122,20.341,325.8,1.1,1,2020-06-05,0000,A,100,6.0NRT,287.1,27.6,N
-8.209,20.371,312.8,1.1,1,2020-06-05,0000,A,86,6.0NRT,284.7,15.2,N
-8.219,20.369,332.4,1.1,1,2020-06-05,0000,A,100,6.0NRT,285.3,37.7,N
16.721,-169.539,311.3,1.2,1.1,2020-06-05,0055,A,47,6.0NRT,299.3,9.3,D
68.532,164.456,308.9,1,1,2020-06-05,0050,T,46,6.0NRT,293.2,6.3,D
68.528,164.479,320,1,1,2020-06-05,0050,T,80,6.0NRT,292.5,15.4,D
68.52,164.47,313.3,1,1,2020-06-05,0050,T,62,6.0NRT,292.7,9.3,D
-12.558,134.923,312.6,1.1,1,2020-06-05,0115,T,44,6.0NRT,299.2,6.2,D
-12.631,134.925,331.9,1.1,1,2020-06-05,0115,T,84,6.0NRT,301.5,27.6,D
-12.632,134.935,335.7,1.1,1,2020-06-05,0115,T,82,6.0NRT,301.9,33.6,D
-12.545,133.795,311.4,1.2,1.1,2020-06-05,0115,T,43,6.0NRT,298.9,5.8,D
