latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-37.315,142.018,303.6,1.3,1.1,2020-05-30,0020,T,0,6.0NRT,284.2,11.4,D
-38.63,145.822,300.2,1,1,2020-05-30,0020,T,28,6.0NRT,285.6,5.6,D
-41.125,147.057,301.4,1.1,1,2020-05-30,0020,T,46,6.0NRT,282,5.9,D
-15.235,144.432,313.1,2.4,1.5,2020-05-30,0015,T,67,6.0NRT,295.5,28.3,D
-15.229,144.426,310.9,2.4,1.5,2020-05-30,0015,T,53,6.0NRT,295.5,19.5,D
-23.142,150.664,310.6,1,1,2020-05-30,0015,T,64,6.0NRT,295.5,7.1,D
-23.144,150.674,318.1,1,1,2020-05-30,0015,T,75,6.0NRT,295.3,13.5,D
-23.106,148.985,310.6,1,1,2020-05-30,0015,T,62,6.0NRT,298.8,5.4,D
-25.37,152.865,307.9,1.3,1.1,2020-05-30,0015,T,60,6.0NRT,293.5,8.8,D
-27.604,152.37,308.1,1.3,1.1,2020-05-30,0015,T,59,6.0NRT,295.8,5.8,D
-27.778,150.461,307.9,1.1,1,2020-05-30,0015,T,59,6.0NRT,294.4,6.9,D
-28.117,151.594,317.1,1.2,1.1,2020-05-30,0015,T,77,6.0NRT,291.9,17.6,D
-28.119,151.606,306.9,1.2,1.1,2020-05-30,0015,T,63,6.0NRT,291.9,7.6,D
-28.659,148.621,320.4,1,1,2020-05-30,0015,T,78,6.0NRT,293.6,15.2,D
-28.66,148.631,319.1,1,1,2020-05-30,0015,T,77,6.0NRT,293.4,14,D
-30.433,149.073,305.4,1,1,2020-05-30,0015,T,61,6.0NRT,293,6.1,D
-30.434,149.084,304.3,1,1,2020-05-30,0015,T,59,6.0NRT,294.3,5.4,D
-31.103,152.864,300.8,1.5,1.2,2020-05-30,0015,T,41,6.0NRT,289.5,6.8,D
-31.354,145.656,304.1,1.1,1,2020-05-30,0015,T,58,6.0NRT,291.9,5.4,D
-33.159,149.353,303.9,1.1,1,2020-05-30,0015,T,57,6.0NRT,285.2,8.5,D
-10.111,150.092,317,1.2,1.1,2020-05-30,0010,T,31,6.0NRT,296.9,13,D
-14.634,144.521,311.9,2.5,1.5,2020-05-30,0010,T,53,6.0NRT,294.5,23.8,D
-14.628,144.516,309.1,2.5,1.5,2020-05-30,0010,T,59,6.0NRT,294.6,17.6,D
-14.641,144.514,309.5,2.5,1.5,2020-05-30,0010,T,61,6.0NRT,294.3,19.2,D
-6.901,19.157,300.8,2.2,1.4,2020-05-30,0040,A,34,6.0NRT,286.3,18,N
-6.899,19.15,304.1,2.2,1.4,2020-05-30,0040,A,59,6.0NRT,286.3,22.4,N
